id,name,keywords
2cb1,Cleopatra Earrings - Golden,"['earrings', 'earring', 'accessory', 'accesories', 'jewellery', 'golden', 'gold', 'gold plated', 'stylish', 'modern', 'western', 'school', 'college', 'party', 'office', 'function', 'meeting', 'meetings', 'comfort', 'trendy', 'quirky', 'outdoor', 'event', 'design', 'plain', 'casual', 'colour', 'color', 'type', 'material', 'feature', 'features', 'weight', 'carry', 'support', 'comfortable', 'material', 'plating', 'stone', 'size', 'occasion', 'jewelery', 'accessories', 'jewels', 'ornament', 'ornaments', 'jewel', 'accessorize', 'accessorise', 'beauty', 'shiny', 'sparkle', 'beautiful', 'lady', 'girl', 'woman', 'women', 'ladies', 'girls', 'wedding', 'shaadi', 'shadi', 'glamorous', 'glamour', 'glam', 'dolled', 'up', 'ear', 'ring', 'ears', 'jewellary', 'by', 'mitali', 'jain', 'cleopatra', 'earrings', 'golden', 'brass', 'plated', 'indian', 'ethnic', 'fusion']"
2d40,Yellow Dip Dye Kurta With Khadi Print,"['casual wear', 'kurta', 'kurtas', 'casual kurta', 'mustard kurta', 'untung kurta', 'officewear kurta', 'aline kurta', 'dailywear kurta', 'printed kurta']"
dd80,Boss Lady Top,"['top', 'tops', 't shirt', 't shirts']"
ddc7,Meadow Yoke Embroidered Black Dress - Black,"['dress', ' dresses', 'black', 'outfits', 'black dress', 'women', 'girls', 'girl', 'clothing', 'apparel', 'apparels', 'embroidery ', 'embroidered dress', 'cotton', 'trendy', 'stylish', 'midi dress', 'vritta']"
de94,Cullors Set,"['co-ord set', 'jumpsuit', 'formal wear', 'office wear', 'doodlage', 'jackets', 'jacket', 'jumpsuits', 'women', 'lady', 'girl', 'clothing', 'dress', 'dresses', 'wear', 'function', 'school', 'college', 'party', 'office', 'trip', 'travel', 'comfort', 'soft', 'trendy', 'quirky', 'stylish', 'bold', 'goofy', 'print', 'outdoor', 'event', 'design', 'graphic', 'plain', 'casual', 'semi', 'formal', 'fabric', 'pattern', 'stripe', 'navy blue', 'navy', 'rayon', 'doodlage']"
2d01,Turquoise Printed Dress With Aztec Embroidery,"['one piece', 'casual wear', 'aline dress', 'turquoise dress', 'midi dress', 'boho chic']"
2db7,Duel Leggings Red,"['leggings', 'gym wear', 'active wear', 'fitness']"
ef79,Victory Tank Top Electric Blue,"['tops', 'top', 'gym wear', 'active wear', 'fitness']"
dd27,White Embroidered Dress With Tie Ups,"['one piece', 'casual wear', 'casual dress', 'off white dress', 'untung dress', 'knee length dress']"
94ed,Anti Dandruff Shampoo | Apple Cider Vinegar,"['shampoo', 'dandruff', 'anti dandruff', 'apple', 'cider', 'apple cider vinegar', 'hair', 'hairs', 'scalp', 'follicle', 'fall', 'shine', 'bounce', 'length', 'surface', 'soft', 'protection', 'healthy', 'protect', 'school', 'college', 'party', 'office', 'meeting', 'meetings', 'shaadi', 'trip', 'travel', 'function', 'gloss', 'glossy', 'long', 'lasting', 'trendy', 'quirky', 'stylish', 'outdoor', 'event', 'casual', 'semi', 'formal', 'type', 'formulation', 'features', 'feature', 'natural', 'ingredients', 'suitable', 'product', 'benefits', 'benefit', 'anti', 'dandruff', 'shampoo', 'apple', 'cider', 'vinegar', 'the', 'man', 'company']"
96b3,Feminine Cramp Relief Roll-On,"['roll on', 'pee safe', 'cramp', 'relief ', 'hygiene', 'product', 'female', 'women', 'safe', 'hygienic', 'india', 'pee', 'indian', 'woman', 'beauty', '&', 'personal', 'care', 'feminine', 'cramp', 'relief', 'roll', 'on', 'period', 'periods']"
2c3e,Eris Earrings,"[' earring', 'earrings', 'jewellery', 'jewelry', 'accessory', 'accessories']"
2d66,Strappy Low Impact Sports Bra - Black,"['bra', 'sports bra', 'gym wear', 'active wear']"
dd38, Yellow Embroidered Dress,"['casual wear', 'one piece']"
dea9,Amy White Tunic,"['tunic', 'top', 'women ethnic wear', 'office wear', 'tunics', 'tops', 'women', 'lady', 'girl', 'clothing', 'dress', 'dresses', 'wear', 'function', 'school', 'college', 'party', 'office', 'trip', 'travel', 'comfort', 'soft', 'trendy', 'quirky', 'stylish', 'bold', 'goofy', 'print', 'outdoor', 'event', 'design', 'graphic', 'plain', 'casual', 'semi', 'formal', 'fabric', 'pattern', 'white', 'amy', 'full', 'doodlage']"
df2b,Moore Stripe Dress,"['college wear', 'casual dress', 'women casual wear', 'stripped dress', 'women', 'lady', 'girl', 'clothing', 'dress', 'dresses', 'wear', 'function', 'school', 'college', 'party', 'office', 'trip', 'travel', 'comfort', 'soft', 'trendy', 'quirky', 'stylish', 'bold', 'goofy', 'print', 'outdoor', 'event', 'design', 'graphic', 'plain', 'casual', 'semi', 'formal', 'fabric', 'pattern', 'moore', 'stripe', 'beige', 'sleeveless', 'grey', 'midi', 'doodlage']"
9584,Clarice,"['shoes', ' pumps', ' footwear']"
2d15,Turquoise Printed Jacket Dress With Tie Ups,"['one piec', 'casual wear']"
2d94,Off White Organic Cotton Kurta With Embroidered Yoke,"['kurti', 'off white kurta', 'embroidered kurta', 'untung kurta', 'officewear kurta', 'daily wear kurta', 'aline kurta', 'casual kurta']"
2dc6,Plum Top,"['top', 'tops', 'gym wear', 'active wear', 'fitness']"
dda1,Fonda Dress,"['blue fonda', 'women apparel', 'women clothing', 'casual dress', 'shirt dress', 'strip pattern', 'women', 'lady', 'girl', 'clothing', 'dress', 'dresses', 'wear', 'function', 'school', 'college', 'party', 'office', 'trip', 'travel', 'comfort', 'soft', 'trendy', 'quirky', 'stylish', 'bold', 'goofy', 'print', 'outdoor', 'event', 'design', 'graphic', 'plain', 'casual', 'semi', 'formal', 'fabric', 'pattern', 'blue', 'fonda', 'stripe', 'a line', 'full ', 'sleeves', 'doodlage']"
9451,DIY- Face Care | Deep Cleanse,"['charcoal', ' cleansing', 'gel', 'cream', 'moringa', 'men', 'grooming', 'skin', 'care', 'hygine', 'face', 'aloe', 'vera', 'vitamin e', 'shea', 'butter', 'peel', 'off', 'scrub', 'mask', 'coffee', ' brighting', 'moisturising', 'diy', 'face', 'care', 'deep', 'cleanse', 'cheek', 'cheeks', 'soft', 'protection', 'glow', 'healthy', 'radiance', 'protect', 'school', 'college', 'party', 'office', 'meeting', 'meetings', 'shaadi', 'trip', 'travel', 'function', 'gloss', 'glossy', 'long', 'lasting', 'trendy', 'quirky', 'stylish', 'outdoor', 'event', 'casusal', 'semi', 'formal', 'type', 'formulation', 'features', 'feature', 'natural', 'ingredients', 'suitable', 'product', 'benefit', 'benefits', 'the', 'man', 'company']"
94b7,Beard Growth Oil | Almond & Thyme,"['oil', 'almond', 'thyme', 'beard', 'care', 'growth', 'men', 'grooming', 'soft', 'shine', 'boys', 'the', 'man', 'company', 'boy', 'gent', 'gents', 'groom', 'style', 'styling', 'moustache', 'mouch', 'hair', 'follicle', 'dandruff', 'fall', 'bounce', 'length', 'surface', 'protection', 'healthy', 'protect', 'school', 'college', 'party', 'office', 'meeting', 'meetings', 'shaadi', 'trip', 'travel', 'function', 'long', 'lasting', 'trendy', 'quirky', 'stylish', 'outdoor', 'event', 'casual', 'type', 'formulation', 'features', 'feature', 'natural', 'ingredients', 'suitable', 'product', 'benefits', 'benefit', 'regrowth', 're', 'itchy', 'itch', 'patchy', 'patches', 'dense', 'beard', 'growth', 'oil', 'almond', '&', 'thyme']"
95ef,Victoria- Sparkling Silver,"['heels', 'stilettos', 'party shoes']"
9603,White Embroidered Dress,"['casual wear', 'one piece', 'fit and flare', 'off white dress', 'untung dress', 'white dress', 'embroidered dress', 'knee length dress']"
962e,Nola,"['work wear', 'sliders', 'shoes']"
2ca5,Empty Dome Ring-Golden,"['ring', 'rings', 'jewellery', 'accessory', 'accessories', 'dome', 'empty dome', 'gold', 'golden', 'gold plated', 'jewellery by mitali jain', 'jewelleries', 'school', 'college', 'party', 'office', 'function', 'meeting', 'meetings', 'comfort', 'trendy', 'quirky', 'stylish', 'outdoor', 'event', 'design', 'plain', 'casual', 'colour', 'color', 'type', 'material', 'feature', 'features', 'weight', 'carry', 'support', 'comfortable', 'material', 'plating', 'stone', 'size', 'occasion', 'jewelery', 'jewels', 'ornament', 'ornaments', 'jewel', 'accessorize', 'accessorise', 'beauty', 'shiny', 'sparkle', 'beautiful', 'lady', 'girl', 'woman', 'women', 'ladies', 'girls', 'wedding', 'shaadi', 'shadi', 'glamorous', 'glamour', 'glam', 'dolled', 'up', 'band', 'loop', 'jewellary', 'by', 'mitali', 'jain', 'empty', 'dome', 'ring', 'golden']"
2d34,Khaki Shift Dress With Embroidery,"['one piece', 'casual wear', 'dress', 'midi dress', 'embroidered dress', 'a-line dress', 'aline', 'green dress', 'khaki dress', 'untung dress']"
ef9a,Light Blue Arrow Printed Kurta,"['kurti', 'cotton kurta', 'office wear kurta', 'dailywear kurta', 'kurta']"
ddd7,Embroidered Raindrops Pale Blush Top,"['top', 'tops', 'blouse', 'blouses', 'women', 'girls', 'girl', 'clothing', 'apparel', 'apparels', 'embroidered ', 'vritta', 'cotton top', 'stylish', 'trendy', 'casua', 'casuals']"
93d8,Pullover Hoodie,"['pullover hoodie', 'athleisure', 'fitness', 'hoodie', 'sweatshirt']"
9466, Second Skin High Waisted Leggings,"['leggings', ' fitness', 'active wear', 'gym wear', 'athleisure']"
9578,Yellow Embroidered Asymmetrical Kurta,"['kurti', 'casual', 'casual kurta', 'asymmetrical kurta', 'untung kurta', 'dailywear ', 'dailywear kurta', 'musturd kurta', 'yellow kurta', 'sleeveless kurta']"
95be,Savannah,"['shoes', 'heels', 'heel', 'shoe']"
960e,Black Dress With Embroidered Sleeves,"['party wear', 'casula', 'one piece']"
9671,Butterfly Hoops - Maroon,"['earrings', 'earring', 'dreamcatcher earrings', 'butterfly', 'butterflies', 'metal', 'maroon', 'accessory', 'funk', 'hoop', 'indian', 'western', 'women', 'woman', 'girl', 'girls', 'butterfly', 'hoops', 'festival', 'fest', 'fests']"
efb0,Purple Printed Kurta,"['kurti', 'kurta', 'purple kurta', 'half sleeves kurta', 'boat neck kurta', 'untung kurta', 'straight kurtas', 'officewear kurta', 'dailywear kurta', 'dailywear']"
f035,Grey Dress With Gota Embroidery ,"['one piece', 'casual wear']"
dc96,Maroon Gathered Dress With Embroidered Yoke,"['one piece', 'casual wear', 'boho chic', 'embroidered dress', 'midi dress', 'maroon dress', 'untung dress']"
dde8,Floral Embroidered After Glow Maxi Dress,"['dress', 'dresses', 'off shoulder dress', 'off white', 'white dress', 'girl', 'girls', 'women', 'apparel', 'apparels', 'clothing', 'maxi', 'maxi dress', 'trendy', 'stylish', 'summer', 'summer dress', 'casual', 'casuals', 'branded', 'vritta']"
de35,Tribal Embroidered Yoke Kurta - Peach,"['kurta', 'kurtas', 'kurti', 'kurtis', 'embroidered kurta', 'embroidery ', 'peach', 'peach kurta', 'ethnic wear', 'ethnic', 'indian wear', 'fusion wear', 'apparel', 'apparels', 'clothing', 'women', 'girls', 'girl', 'cotton kurta', 'cotton', 'brand', 'vritta']"
de73,Floral Embroidered String Top - Pale Blush,"['top', 'tops', 'blouse', 'blouses', 'drawstring top', 'dori', 'pink', 'pale blush', 'pink top', 'top wear', 'upper', 'women', 'girls', 'girl', 'casual ', 'casuals', 'cotton top', 'embroidered top', 'trendy', 'stylish', 'branded ', 'brand', 'vritta']"
de84,Black Jade Set,"['pant', ' top', 'co-ord set', 'lounge wear', 'women casuals', 'college wear', 'women', 'lady', 'girl', 'clothing', 'dress', 'dresses', 'wear', 'function', 'school', 'college', 'party', 'office', 'trip', 'travel', 'comfort', 'soft', 'trendy', 'quirky', 'stylish', 'bold', 'goofy', 'print', 'outdoor', 'event', 'design', 'graphic', 'plain', 'casual', 'semi', 'formal', 'fabric', 'pattern', 'black', 'jade ', 'set', 'doodlage']"
dec2,Sue Knotted Dress,"['casual wear', 'office wear', 'college wear', 'women', 'lady', 'girl', 'clothing', 'dress', 'dresses', 'wear', 'function', 'school', 'college', 'party', 'office', 'trip', 'travel', 'comfort', 'soft', 'trendy', 'quirky', 'stylish', 'bold', 'goofy', 'print', 'outdoor', 'event', 'design', 'graphic', 'plain', 'casual', 'semi', 'formal', 'fabric', 'pattern', 'sue', 'knotted', 'black', 'straight', 'midi', 'doodlage']"
df5a,Kelly Beige Dress,"['casual dress', 'college wear', 'day wear dress', 'women', 'lady', 'girl', 'clothing', 'dress', 'dresses', 'wear', 'function', 'school', 'college', 'party', 'office', 'trip', 'travel', 'comfort', 'soft', 'trendy', 'quirky', 'stylish', 'bold', 'goofy', 'print', 'outdoor', 'event', 'design', 'graphic', 'plain', 'casual', 'semi', 'formal', 'fabric', 'pattern', 'kelly', 'beige', 'loose', 'fit', 'doodlage']"
9406,Lift Medium Impact Sports Bra - Blue,"['fitness', 'sports bra', 'undergarments', 'atheleisure', 'active wear']"
9474,Vitamin C Face Wash | Turmeric And Moringa,"['vitamin c', 'turmeric', 'moringa', 'face', 'men', 'skin', 'care', 'ingredients', 'boys', 'hydrated', 'fresh', 'wash', 'clean', 'hygiene', 'natural', 'vitamin', 'c', 'face', 'wash', 'turmeric', 'and', 'moringa', 'the', 'man', 'company', 'cheek', 'cheeks', 'soft', 'cream', 'protection', 'glow', 'healthy', 'radiance', 'protect', 'school', 'college', 'party', 'office', 'meeting', 'meetings', 'shaadi', 'trip', 'travel', 'function', 'gloss', 'glossy', 'long', 'lasting', 'trendy', 'quirky', 'stylish', 'outdoor', 'event', 'casusal', 'semi', 'formal', 'type', 'formulation', 'features', 'feature', 'suitable', 'product', 'benefit', 'benefits']"
9552, Maroon Tasseled Top,"['casual', 'office wear']"
9683,Toilet Seat Sanitizer Spray - Mint - 75ML,"['disinfectant', 'hygiene', 'toilet', 'sanitizer', 'sanitizer spray', 'spray', 'toilet', 'seat', 'sanitizer', 'lavender', '300', 'ml', 'product', 'female', 'women', 'safe', 'hygienic', 'india', 'pee', 'indian', 'woman', 'beauty', '&', 'personal', 'care']"
2c44,Disarray Necklace,"['necklace', 'necklaces', 'accessories', 'accessory', 'golden', 'disarray', 'neck piece', 'gold', 'modern', 'school', 'college', 'party', 'office', 'function', 'meeting', 'meetings', 'comfort', 'trendy', 'quirky', 'stylish', 'outdoor', 'event', 'design', 'plain', 'casual', 'colour', 'color', 'type', 'material', 'feature', 'features', 'weight', 'carry', 'support', 'comfortable', 'material', 'plating', 'stone', 'size', 'occasion', 'jewelery', 'jewellery', 'jewels', 'ornament', 'ornaments', 'jewel', 'accessorize', 'accessorise', 'beauty', 'shiny', 'sparkle', 'beautiful', 'lady', 'girl', 'woman', 'women', 'ladies', 'girls', 'wedding', 'shaadi', 'shadi', 'glamorous', 'glamour', 'glam', 'dolled', 'up', 'neck', 'lace', 'pendant', 'chain', 'jewellary', 'by', 'mitali', 'jain', 'disarray', 'necklace']"
efd0,Off White Floral Embroidered Shift Dress,"['one piece', 'casual wear']"
efe0,Skater Dress With Embroidered Yoke,"['one piece', 'casual wear', 'boho chic', 'embroidered dress', 'tassel dress']"
dd91,Base Medium Impact Sports Bra - Blue,"['bra', 'sports bra', 'fitness', 'active wear', 'gym wear']"
ded9,Blake Blue Set,"['tunic ', 'pant', 'co-ord set', 'college wear', 'office wear', 'tunics', 'pants', 'co-ord sets', 'women', 'lady', 'girl', 'clothing', 'dress', 'dresses', 'wear', 'function', 'school', 'college', 'party', 'office', 'trip', 'travel', 'comfort', 'soft', 'trendy', 'quirky', 'stylish', 'bold', 'goofy', 'print', 'outdoor', 'event', 'design', 'graphic', 'plain', 'casual', 'semi', 'formal', 'fabric', 'pattern', 'blake', 'blue', 'set', 'doodlage']"
df40,Angela Beige Stripe Dress,"['college wear', 'casual dress ', 'stripped dress ', 'women', 'lady', 'girl', 'clothing', 'dress', 'dresses', 'wear', 'function', 'school', 'college', 'party', 'office', 'trip', 'travel', 'comfort', 'soft', 'trendy', 'quirky', 'stylish', 'bold', 'goofy', 'print', 'outdoor', 'event', 'design', 'graphic', 'plain', 'casual', 'semi', 'formal', 'fabric', 'pattern', 'angela', 'beige', 'stripe', 'sleeveless ', 'doodlage']"
9554,Dove Top,"['top', 'tops', ' fitness', ' gym wear', 'active wear', 'athleisure']"
9569,Grey Embroidered Dress,"['casual', 'office wear']"
961a,Madison,"['shoes', 'work wear', 'work shoes']"
9665,Classic Pearl Earrings,"['earring', 'earrings', 'pearl earrings', 'hoops', 'pearls', 'copper', 'metal']"
2d75,Scooter Motif Printed Fit And Flare Top,['top']
ddb5,Yui Slip Dress,"['strip dress', ' women apparel ', 'blue polka dot dress', 'women casual wear', 'women', 'lady', 'girl', 'clothing', 'dress', 'dresses', 'wear', 'function', 'school', 'college', 'party', 'office', 'trip', 'travel', 'comfort', 'soft', 'trendy', 'quirky', 'stylish', 'bold', 'goofy', 'print', 'outdoor', 'event', 'design', 'graphic', 'plain', 'casual', 'semi', 'formal', 'fabric', 'pattern', 'polka', 'sleeveless', 'blue', 'navy', 'yui', 'slip', 'doodlage']"
93e7,Vitamin C Face Serum,"['skincare', 'serum', 'vitamin c', 'men', 'face', 'grooming', 'care', 'heath', 'hygine', 'hydrated', 'the', 'man', 'company', 'vitamin', 'c', 'face', 'serum', 'cheek', 'cheeks', 'skin', 'soft', 'cream', 'protection', 'glow', 'healthy', 'radiance', 'protect', 'school', 'college', 'party', 'office', 'meeting', 'meetings', 'shaadi', 'trip', 'travel', 'function', 'gloss', 'glossy', 'long', 'lasting', 'trendy', 'quirky', 'stylish', 'outdoor', 'event', 'casusal', 'semi', 'formal', 'type', 'formulation', 'features', 'feature', 'natural', 'ingredients', 'suitable', 'product', 'benefit', 'benefits']"
2c36,Cluttered Hoops,"['hoops', 'earrings', 'earring', 'accessory', 'accessories', 'gold', 'golden', 'modern', 'stylish', 'school', 'college', 'party', 'office', 'function', 'meeting', 'meetings', 'comfort', 'trendy', 'quirky', 'outdoor', 'event', 'design', 'plain', 'casual', 'colour', 'color', 'type', 'material', 'feature', 'features', 'weight', 'carry', 'support', 'comfortable', 'material', 'plating', 'stone', 'size', 'occasion', 'jewelery', 'jewellery', 'jewels', 'ornament', 'ornaments', 'jewel', 'accessorize', 'accessorise', 'beauty', 'shiny', 'sparkle', 'beautiful', 'lady', 'girl', 'woman', 'women', 'ladies', 'girls', 'wedding', 'shaadi', 'shadi', 'glamorous', 'glamour', 'glam', 'dolled', 'up', 'ear', 'ring', 'ears', 'jewellary', 'by', 'mitali', 'jain', 'cluttered', 'hoops', 'brass', 'plated', 'indian', 'western', 'ethnic', 'fusion']"
2d4b, Scooter Motif Printed A Line Wrap Dress,"['one piece', 'casual wear']"
de4a,Denim Floral Embroidered Wan Blue Panelled Shirt,"['top', 'tops', 'shirt', 'shirts', 'high low shirt', 'blue', 'blue shirt', 'casual', 'casuals', 'work wear', 'western', 'clothing', 'apparel', 'apparels', 'women', 'girls', 'girl', 'cotton', 'cotton shirt', 'brand', 'vritta']"
951b, Blue White Printed Kurta,"['kurti', 'indian', 'wear', 'everyday wear', 'office wear']"
94db,Blush Leggings,"['leggings', ' fitness', ' gymwear', 'active wear', 'athleisure']"
9692,Toilet Seat Sanitizer Spray - Lavender - 75ML,"['toilet', 'disinfectant', 'sanitizer', 'spray ', 'spray', 'hygiene', 'toilet', 'seat', 'sanitizer', 'spray', 'lavender', '75', 'ml', 'product', 'female', 'women', 'safe', 'hygienic', 'india', 'pee', 'indian', 'woman', 'beauty', '&', 'personal', 'care']"
96c1, Natural Intimate Wipes,"['wet wipes', 'tissues', 'tissue', 'hygiene', 'toilet', 'sanitizer', 'product', 'female', 'women', 'safe', 'hygienic', 'india', 'pee', 'indian', 'woman', 'beauty', '&', 'personal', 'care', ' natural', 'intimate', 'wipes', 'cloth']"
2d85,Orange Color Block Gathered Top With Embroidery,['top']
2da3,Light Blue Embroidered Dress With Border Print,"['one piece', 'casual wear']"
f01c,Red Printed A-Line Dress With Waist Tie-Up,"['one piece', 'casual wear']"
dd0d,Off White Organic Cotton Shrug With Embroidery,"['trendy', 'women wear', 'shrugs', 'boho chic', 'casual shrug', 'off white', 'cotton shrug', 'untung shrug']"
de0a,Chambray Wan Blue Lazy Dress,"['dress', 'dresses', 'blue dress', 'blue', 'women', 'girls', 'girl', 'casual', 'casuals', 'midi dress', 'aline dress', 'apparel', 'apparels', 'clothing', 'trendy', 'summer dress', 'stylish', 'brand', 'vritta']"
9432,High Waisted Pink Leggings,"['leggings', 'fitness', 'active wear', 'gym wear', 'athleisure']"
9457,Simply Kicass T-Shirt,"['fitness', 'gymwear', 'active wear', 'athleisure', 't shirt', 'tops', 'top']"
95da,Victoria- Blue,"['stilettos', 'heels', 'shoes', 'party shoes']"
94a2,Beard Wash | Almond And Thyme,"['almond', 'beard', 'thyme', 'wash', 'care', 'men', 'grooming', 'natural', 'ingredients', 'soft', 'clean', 'cleanses', 'boy', 'boys', 'gent', 'gents', 'groom', 'style', 'styling', 'growth', 'moustache', 'mouch', 'hair', 'follicle', 'dandruff', 'fall', 'shine', 'bounce', 'length', 'surface', 'protection', 'healthy', 'protect', 'school', 'college', 'party', 'office', 'meeting', 'meetings', 'shaadi', 'trip', 'travel', 'function', 'long', 'lasting', 'trendy', 'quirky', 'stylish', 'outdoor', 'event', 'casual', 'type', 'formulation', 'features', 'feature', 'suitable', 'product', 'benefits', 'benefit', 'regrowth', 're', 'itchy', 'itch', 'patchy', 'patches', 'dense', 'beard', 'wash', 'almond', 'and', 'thyme', 'the', 'man', 'company']"
952e,Blue Printed Shirt Top,"['wear', 'office', 'casual']"
95a4,Zaha,"['heels', 'stilettos', 'footwear', 'shoes', 'party shoes']"
9677,Tree Of Life Earrings - Pink ,"['earrings', 'earring', ' hoops', 'tree', 'tree of life', 'pink', 'hot pink']"
2c2e,Anarchy Studs,"['earrings', 'earring', 'stud', ' studs', 'accessory', 'accessories', 'anarchy', 'gold', 'golden', 'gold plated', '18k', 'school', 'college', 'party', 'office', 'function', 'meeting', 'meetings', 'comfort', 'trendy', 'quirky', 'stylish', 'outdoor', 'event', 'design', 'plain', 'casual', 'colour', 'color', 'type', 'material', 'feature', 'features', 'weight', 'carry', 'support', 'comfortable', 'material', 'plating', 'stone', 'size', 'occasion', 'jewelery', 'jewellery', 'jewels', 'ornament', 'ornaments', 'jewel', 'accessorize', 'accessorise', 'beauty', 'shiny', 'sparkle', 'beautiful', 'lady', 'girl', 'woman', 'women', 'ladies', 'girls', 'wedding', 'shaadi', 'shadi', 'glamorous', 'glamour', 'glam', 'dolled', 'up', 'ear', 'ring', 'ears', 'anarchy', 'studs', 'jewellery', 'by', 'mitali', 'jain', 'brass', 'plated', 'ethnic', 'indian', 'fusion', 'western']"
